Date,code,Close,pctChg,Volume
2020-04-01,sh.000001,2734.5215,-0.573564,21725342700
2020-04-02,sh.000001,2780.6379,1.686452,21786460000
2020-04-03,sh.000001,2763.9874,-0.598801,20083740400
2020-04-07,sh.000001,2820.7634,2.054134,27019818600
2020-04-08,sh.000001,2815.3686,-0.191253,24351530500
2020-04-09,sh.000001,2825.9036,0.374196,23818484300
2020-04-10,sh.000001,2796.6312,-1.035860,23345476800
2020-04-13,sh.000001,2783.0476,-0.485713,17712455400
2020-04-14,sh.000001,2827.283,1.589459,20269656900
2020-04-15,sh.000001,2811.1741,-0.569766,20562114600
2020-04-16,sh.000001,2819.935,0.311646,20300377300
2020-04-17,sh.000001,2838.4945,0.658153,24573675000
2020-04-20,sh.000001,2852.5528,0.495273,21184707800
2020-04-21,sh.000001,2827.0133,-0.895321,23323587000
2020-04-22,sh.000001,2843.9804,0.600178,21732000000
2020-04-23,sh.000001,2838.4994,-0.192723,24877903700
2020-04-24,sh.000001,2808.5293,-1.055843,23518507600
2020-04-27,sh.000001,2815.4947,0.248009,21013098100
2020-04-28,sh.000001,2810.0243,-0.194296,25387274500
2020-04-29,sh.000001,2822.4424,0.441921,20206180700
2020-04-30,sh.000001,2860.0822,1.333590,24245527800
2020-05-06,sh.000001,2878.1402,0.631380,24982661600
2020-05-07,sh.000001,2871.5232,-0.229905,22673695700
2020-05-08,sh.000001,2895.3444,0.829567,22682207500
2020-05-11,sh.000001,2894.802,-0.018734,22512041000
2020-05-12,sh.000001,2891.5564,-0.112118,19708298500
2020-05-13,sh.000001,2898.0495,0.224554,18506131000
2020-05-14,sh.000001,2870.3422,-0.956067,19777620200
2020-05-15,sh.000001,2868.4587,-0.065619,18898359200
2020-05-18,sh.000001,2875.4176,0.242601,22602288200
2020-05-19,sh.000001,2898.576,0.805393,19722240500
2020-05-20,sh.000001,2883.7378,-0.511913,21051998500
2020-05-21,sh.000001,2867.9237,-0.548389,20353203800
2020-05-22,sh.000001,2813.7654,-1.888415,20906371200
2020-05-25,sh.000001,2817.9697,0.149419,17288555700
2020-05-26,sh.000001,2846.5473,1.014120,17456236900
2020-05-27,sh.000001,2836.8036,-0.342299,19814934300
2020-05-28,sh.000001,2846.2217,0.331997,20754601900
2020-05-29,sh.000001,2852.3512,0.215356,20679280400
2020-06-01,sh.000001,2915.4311,2.211505,26019605000
2020-06-02,sh.000001,2921.398,0.204666,25610804900
2020-06-03,sh.000001,2923.3711,0.067540,25566398000
2020-06-04,sh.000001,2919.2506,-0.140950,22660587300
2020-06-05,sh.000001,2930.7993,0.395605,21736067300
2020-06-08,sh.000001,2937.7712,0.237884,23112436000
2020-06-09,sh.000001,2956.1116,0.624296,20904858500
